surrogate_setting,dataset,target_type,target_item,victim_model,method,metric,k,attack_size,value
SR-GNN,diginetica,popular,1440,tron,CREAT,recall,50,0.01,0.0539945446777744
SR-GNN,diginetica,popular,1440,tron,DPSBR,mrr,10,0.01,0.0545568476604659
SR-GNN,diginetica,popular,1440,tron,DPSBR,mrr,20,0.01,0.0617547939212932
SR-GNN,diginetica,popular,1440,tron,DPSBR,mrr,30,0.01,0.0650348567138357
SR-GNN,diginetica,popular,1440,tron,DPSBR,mrr,40,0.01,0.0670378035883956
SR-GNN,diginetica,popular,1440,tron,DPSBR,mrr,50,0.01,0.0683397490848706
SR-GNN,diginetica,popular,1440,tron,DPSBR,recall,10,0.01,0.1773472674093792
SR-GNN,diginetica,popular,1440,tron,DPSBR,recall,20,0.01,0.2828716027473791
SR-GNN,diginetica,popular,1440,tron,DPSBR,recall,30,0.01,0.3648493213710605
SR-GNN,diginetica,popular,1440,tron,DPSBR,recall,40,0.01,0.435127674258109
SR-GNN,diginetica,popular,1440,tron,DPSBR,recall,50,0.01,0.493920273423379
SR-GNN,diginetica,popular,1440,tron,Poisoning-SSL,mrr,10,0.01,0.0044487049478176
SR-GNN,diginetica,popular,1440,tron,Poisoning-SSL,mrr,20,0.01,0.0074496133839339
SR-GNN,diginetica,popular,1440,tron,Poisoning-SSL,mrr,30,0.01,0.0095662438538323
SR-GNN,diginetica,popular,1440,tron,Poisoning-SSL,mrr,40,0.01,0.0111953674992114
SR-GNN,diginetica,popular,1440,tron,Poisoning-SSL,mrr,50,0.01,0.0125124582847467
SR-GNN,diginetica,popular,1440,tron,Poisoning-SSL,recall,10,0.01,0.0243353379999342
SR-GNN,diginetica,popular,1440,tron,Poisoning-SSL,recall,20,0.01,0.0699168556311413
SR-GNN,diginetica,popular,1440,tron,Poisoning-SSL,recall,30,0.01,0.1233855861185053
SR-GNN,diginetica,popular,1440,tron,Poisoning-SSL,recall,40,0.01,0.1807814913404975
SR-GNN,diginetica,popular,1440,tron,Poisoning-SSL,recall,50,0.01,0.2403299484044825
SR-GNN,diginetica,popular,1440,tron,TC-SACP-C,mrr,10,0.01,0.0053019401917656
SR-GNN,diginetica,popular,1440,tron,TC-SACP-C,mrr,20,0.01,0.0071726858373667
SR-GNN,diginetica,popular,1440,tron,TC-SACP-C,mrr,30,0.01,0.0085061207735643
