surrogate_setting,dataset,target_type,victim_model,method,metric,k,mean,std,count
SR-GNN,diginetica,popular,miasrec,TC-SACP-C,recall,20,0.5921916592724046,0.1058252192531701,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-C,recall,30,0.7797955897334778,0.10032579238690564,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-C,recall,40,0.8762364849321372,0.07350558195905153,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-C,recall,50,0.9234020178119557,0.04686959679777972,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-G,mrr,10,0.047966120195490194,0.015318762415541838,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-G,mrr,20,0.06865096384194047,0.015928079122852,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-G,mrr,30,0.07555826164851148,0.014951766623854711,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-G,mrr,40,0.07809072756100324,0.014552222621444117,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-G,mrr,50,0.07926616134670553,0.01435114245709932,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-G,recall,10,0.24539090998718321,0.0703485624203928,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-G,recall,20,0.5475270301357258,0.07900788213503694,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-G,recall,30,0.7175753393144697,0.060508994054270356,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-G,recall,40,0.8057625948930298,0.05069058174704593,10
SR-GNN,diginetica,popular,miasrec,TC-SACP-G,recall,50,0.8585921325051761,0.04263093275674664,10
SR-GNN,diginetica,popular,srgnn,CLEAN,mrr,10,0.00020306117232566953,0.0003477089687046669,10
SR-GNN,diginetica,popular,srgnn,CLEAN,mrr,20,0.0002504604354365644,0.0004349504916352495,10
SR-GNN,diginetica,popular,srgnn,CLEAN,mrr,30,0.0002818896841600021,0.0004907651951729664,10
SR-GNN,diginetica,popular,srgnn,CLEAN,mrr,40,0.00030079095806591604,0.0005175858393821912,10
SR-GNN,diginetica,popular,srgnn,CLEAN,mrr,50,0.00031192552261149776,0.0005306935907712871,10
SR-GNN,diginetica,popular,srgnn,CLEAN,recall,10,0.0006753426008084,0.0012110615119511623,10
SR-GNN,diginetica,popular,srgnn,CLEAN,recall,20,0.0013901212658976154,0.002532201621737164,10
SR-GNN,diginetica,popular,srgnn,CLEAN,recall,30,0.0021689835354431137,0.0039219575868358,10
SR-GNN,diginetica,popular,srgnn,CLEAN,recall,40,0.0028344671201813504,0.00487475572468095,10
SR-GNN,diginetica,popular,srgnn,CLEAN,recall,50,0.00333727693976135,0.005475508016002182,10
SR-GNN,diginetica,popular,srgnn,CREAT,mrr,10,0.0481522906302311,0.006532944793025124,10
SR-GNN,diginetica,popular,srgnn,CREAT,mrr,20,0.05306536495344718,0.006128974640428279,10
SR-GNN,diginetica,popular,srgnn,CREAT,mrr,30,0.055018511671524925,0.00557773683889371,10
SR-GNN,diginetica,popular,srgnn,CREAT,mrr,40,0.0560765861954979,0.005232922245519032,10
SR-GNN,diginetica,popular,srgnn,CREAT,mrr,50,0.056716486203472416,0.00500903999590837,10
SR-GNN,diginetica,popular,srgnn,CREAT,recall,10,0.13249203062867654,0.023042082996992,10
SR-GNN,diginetica,popular,srgnn,CREAT,recall,20,0.20413092773341215,0.01632193010421272,10
SR-GNN,diginetica,popular,srgnn,CREAT,recall,30,0.2528311807814913,0.01878951640417213,10
SR-GNN,diginetica,popular,srgnn,CREAT,recall,40,0.2898895790200138,0.037032813002065214,10
SR-GNN,diginetica,popular,srgnn,CREAT,recall,50,0.31878471195241376,0.054200810440355476,10
SR-GNN,diginetica,popular,srgnn,DPSBR,mrr,10,0.05462106232723922,0.002683472152398538,10
SR-GNN,diginetica,popular,srgnn,DPSBR,mrr,20,0.06175139341271278,0.003086848683340879,10
SR-GNN,diginetica,popular,srgnn,DPSBR,mrr,30,0.06508416880446974,0.0032347909610700217,10
SR-GNN,diginetica,popular,srgnn,DPSBR,mrr,40,0.06698018659506352,0.0032775102545212036,10
SR-GNN,diginetica,popular,srgnn,DPSBR,mrr,50,0.0681856556611859,0.003301712634151293,10
SR-GNN,diginetica,popular,srgnn,DPSBR,recall,10,0.15184363600512665,0.007749228945263144,10
SR-GNN,diginetica,popular,srgnn,DPSBR,recall,20,0.2565546025173354,0.013517975588032641,10
SR-GNN,diginetica,popular,srgnn,DPSBR,recall,30,0.33990929705215417,0.0177438786328336,10
SR-GNN,diginetica,popular,srgnn,DPSBR,recall,40,0.40643793749383816,0.020059630583609593,10
SR-GNN,diginetica,popular,srgnn,DPSBR,recall,50,0.46082848598376547,0.02188069106839992,10
SR-GNN,diginetica,popular,srgnn,Poisoning-SSL,mrr,10,0.0424302350723281,0.014149238175138884,10
SR-GNN,diginetica,popular,srgnn,Poisoning-SSL,mrr,20,0.04472323191914264,0.014548204213995391,10
SR-GNN,diginetica,popular,srgnn,Poisoning-SSL,mrr,30,0.04587336538935356,0.014704152504824465,10
SR-GNN,diginetica,popular,srgnn,Poisoning-SSL,mrr,40,0.046611683609229806,0.014795091655058091,10
SR-GNN,diginetica,popular,srgnn,Poisoning-SSL,mrr,50,0.04713044126984319,0.014846832159731054,10
SR-GNN,diginetica,popular,srgnn,Poisoning-SSL,recall,10,0.08145354760261589,0.02445404351760783,10
SR-GNN,diginetica,popular,srgnn,Poisoning-SSL,recall,20,0.11525518419928356,0.030601975988699955,10
SR-GNN,diginetica,popular,srgnn,Poisoning-SSL,recall,30,0.1440977357126425,0.03525673929161114,10
SR-GNN,diginetica,popular,srgnn,Poisoning-SSL,recall,40,0.1700861020736797,0.039504618008213296,10
SR-GNN,diginetica,popular,srgnn,Poisoning-SSL,recall,50,0.1935637056755069,0.04285962559928375,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-C,mrr,10,0.06493666755867342,0.0035058127304062616,10
SR-GNN,diginetica,popular,srgnn,TC-SACP-C,mrr,20,0.07408471978584916,0.003459787170030125,10
