dataset,target_type,target_item,victim_model,method,attack_size,recall20
diginetica,popular,32614,wearec,DPSBR,0.005,0.026438594761576128
diginetica,popular,3316,freqrec,DPSBR,0.005,0.005110256663051694
diginetica,popular,3316,mdhg,DPSBR,0.005,0.0022018469223438167
diginetica,popular,3316,miasrec,DPSBR,0.005,0.3855203917315719
diginetica,popular,3316,srgnn,DPSBR,0.005,0.13551217588484668
diginetica,popular,3316,tron,DPSBR,0.005,0.14648854710966513
diginetica,popular,3316,wearec,DPSBR,0.005,0.015117157974300832
diginetica,popular,39588,freqrec,DPSBR,0.005,0.00404219658878044
diginetica,popular,39588,mdhg,DPSBR,0.005,0.0014624207170791021
diginetica,popular,39588,miasrec,DPSBR,0.005,0.3786683755627855
diginetica,popular,39588,srgnn,DPSBR,0.005,0.12782214335009365
diginetica,popular,39588,tron,DPSBR,0.005,0.12525879917184266
diginetica,popular,39588,wearec,DPSBR,0.005,0.019077196095829637
diginetica,popular,4092,freqrec,DPSBR,0.005,0.005028098195800059
diginetica,popular,4092,mdhg,DPSBR,0.005,0.003187748529363436
diginetica,popular,4092,miasrec,DPSBR,0.005,0.2273817739656249
diginetica,popular,4092,srgnn,DPSBR,0.005,0.13243944920963555
diginetica,popular,4092,tron,DPSBR,0.005,0.27271681619507704
diginetica,popular,4092,wearec,DPSBR,0.005,0.020161687863551218
diginetica,popular,5334,freqrec,DPSBR,0.005,0.004305103683985671
diginetica,popular,5334,mdhg,DPSBR,0.005,0.004173650136383056
diginetica,popular,5334,miasrec,DPSBR,0.005,0.22874560452200204
diginetica,popular,5334,srgnn,DPSBR,0.005,0.14931479838312137
diginetica,popular,5334,tron,DPSBR,0.005,0.11523546616714318
diginetica,popular,5334,wearec,DPSBR,0.005,0.015873015873015872
diginetica,popular,5418,freqrec,DPSBR,0.005,0.005126688356502021
diginetica,popular,5418,mdhg,DPSBR,0.005,1
diginetica,popular,5418,miasrec,DPSBR,0.005,0.3331032896250288
diginetica,popular,5418,srgnn,DPSBR,0.005,0.12690196851687535
diginetica,popular,5418,tron,DPSBR,0.005,0.30940878766965724
diginetica,popular,5418,wearec,DPSBR,0.005,0.014459890236287751
diginetica,popular,9496,freqrec,DPSBR,0.005,0.003483519011469322
diginetica,popular,9496,mdhg,DPSBR,0.005,1
diginetica,popular,9496,miasrec,DPSBR,0.005,0.5009201748332183
diginetica,popular,9496,srgnn,DPSBR,0.005,0.1375825692595879
diginetica,popular,9496,tron,DPSBR,0.005,0.10966512208748233
diginetica,popular,9496,wearec,DPSBR,0.005,0.020786092214663644
diginetica,unpopular,17290,freqrec,TC-SACP-C,0.005,0.005258141904104637
diginetica,unpopular,17290,mdhg,TC-SACP-C,0.005,0.7965920667784022
diginetica,unpopular,17290,miasrec,TC-SACP-C,0.005,0.19216865490157414
diginetica,unpopular,17290,srgnn,TC-SACP-C,0.005,0.1756876663708962
diginetica,unpopular,17290,tron,TC-SACP-C,0.005,0.06322915639685826
diginetica,unpopular,17290,wearec,TC-SACP-C,0.005,0.0210654310033192
diginetica,unpopular,20222,freqrec,TC-SACP-C,0.005,0.0041243550560320745
diginetica,unpopular,20222,mdhg,TC-SACP-C,0.005,0.00011502185415228893
diginetica,unpopular,20222,miasrec,TC-SACP-C,0.005,0.2629399585921325
diginetica,unpopular,20222,srgnn,TC-SACP-C,0.005,0.16620657925005752
diginetica,unpopular,20222,tron,TC-SACP-C,0.005,0.027260179434092476
diginetica,unpopular,20222,wearec,TC-SACP-C,0.005,0.020112392783200237
diginetica,unpopular,21325,freqrec,TC-SACP-C,0.005,0.006145453350422295
diginetica,unpopular,21325,mdhg,TC-SACP-C,0.005,0.8147655197344639
diginetica,unpopular,21325,miasrec,TC-SACP-C,0.005,0.31404252522264947
diginetica,unpopular,21325,srgnn,TC-SACP-C,0.005,0.16982155180912945
diginetica,unpopular,21325,tron,TC-SACP-C,0.005,0.047619047619047616
diginetica,unpopular,21325,wearec,TC-SACP-C,0.005,0.01938939827138585
diginetica,unpopular,23414,freqrec,TC-SACP-C,0.005,0.003565677478720957
diginetica,unpopular,23414,mdhg,TC-SACP-C,0.005,0.0002629070952052319
diginetica,unpopular,23414,miasrec,TC-SACP-C,0.005,0.23444740214926552
diginetica,unpopular,23414,srgnn,TC-SACP-C,0.005,0.18120871537020605
diginetica,unpopular,23414,tron,TC-SACP-C,0.005,0.006424792139077854
diginetica,unpopular,23414,wearec,TC-SACP-C,0.005,0.012964606132307996
diginetica,unpopular,28865,freqrec,TC-SACP-C,0.005,0.004781622794045154
diginetica,unpopular,28865,mdhg,TC-SACP-C,0.005,0.9959906667981202
diginetica,unpopular,28865,miasrec,TC-SACP-C,0.005,0.2393111834105623
diginetica,unpopular,28865,srgnn,TC-SACP-C,0.005,0.16012685267343651
diginetica,unpopular,28865,tron,TC-SACP-C,0.005,0.0061618850438726214
diginetica,unpopular,28865,wearec,TC-SACP-C,0.005,0.02338229977981531
diginetica,unpopular,29122,freqrec,TC-SACP-C,0.005,0.004305103683985671
diginetica,unpopular,29122,mdhg,TC-SACP-C,0.005,0.0005422458838607907
diginetica,unpopular,29122,miasrec,TC-SACP-C,0.005,0.29235268986821783
diginetica,unpopular,29122,srgnn,TC-SACP-C,0.005,0.16107989089355548
diginetica,unpopular,29122,tron,TC-SACP-C,0.005,0.008314436885865457
diginetica,unpopular,29122,wearec,TC-SACP-C,0.005,0.020720365440862334
diginetica,unpopular,32561,freqrec,TC-SACP-C,0.005,0.005291005291005291
diginetica,unpopular,32561,mdhg,TC-SACP-C,0.005,0.0008215846725163496
diginetica,unpopular,32561,miasrec,TC-SACP-C,0.005,0.36141509743994216
diginetica,unpopular,32561,srgnn,TC-SACP-C,0.005,0.16318314765519734
diginetica,unpopular,32561,tron,TC-SACP-C,0.005,0.06814223273850603
diginetica,unpopular,32561,wearec,TC-SACP-C,0.005,0.018058431101909363
diginetica,unpopular,33995,freqrec,TC-SACP-C,0.005,0.0030398632883104934
diginetica,unpopular,33995,mdhg,TC-SACP-C,0.005,0.00027933878865555884
diginetica,unpopular,33995,miasrec,TC-SACP-C,0.005,0.5336521081862696
diginetica,unpopular,33995,srgnn,TC-SACP-C,0.005,0.17621348056130665
diginetica,unpopular,33995,tron,TC-SACP-C,0.005,0.04403693844687633
diginetica,unpopular,33995,wearec,TC-SACP-C,0.005,0.02239639817279569
diginetica,unpopular,3660,freqrec,TC-SACP-C,0.005,0.004617305859541884
diginetica,unpopular,3660,mdhg,TC-SACP-C,0.005,0.000032863386900653985
diginetica,unpopular,3660,miasrec,TC-SACP-C,0.005,0.2294521673403661
diginetica,unpopular,3660,srgnn,TC-SACP-C,0.005,0.1915278188570114
diginetica,unpopular,3660,tron,TC-SACP-C,0.005,0.09188602977422854
diginetica,unpopular,3660,wearec,TC-SACP-C,0.005,0.020654638667061027
diginetica,unpopular,8829,freqrec,TC-SACP-C,0.005,0.004863781261296789
diginetica,unpopular,8829,mdhg,TC-SACP-C,0.005,0.0002957704821058858
diginetica,unpopular,8829,miasrec,TC-SACP-C,0.005,0.34348811988563543
diginetica,unpopular,8829,srgnn,TC-SACP-C,0.005,0.17042952446679155
diginetica,unpopular,8829,tron,TC-SACP-C,0.005,0.01730257320319432
diginetica,unpopular,8829,wearec,TC-SACP-C,0.005,0.01661244207828059
diginetica,unpopular,17290,freqrec,CREAT,0.005,0.0044694206184889415
diginetica,unpopular,17290,mdhg,CREAT,0.005,0.00008215846725163495
diginetica,unpopular,17290,miasrec,CREAT,0.005,0.2697591113740182
diginetica,unpopular,17290,srgnn,CREAT,0.005,0.12898879358506687
diginetica,unpopular,17290,tron,CREAT,0.005,0.11917907259522166
diginetica,unpopular,17290,wearec,CREAT,0.005,0.024171021065431002
diginetica,unpopular,20222,freqrec,CREAT,0.005,0.005323868677905945
diginetica,unpopular,20222,mdhg,CREAT,0.005,0.00006572677380130797
diginetica,unpopular,20222,miasrec,CREAT,0.005,0.252062177528016
diginetica,unpopular,20222,srgnn,CREAT,0.005,0.13427979887607217
diginetica,unpopular,20222,tron,CREAT,0.005,0.11285287061684578
diginetica,unpopular,20222,wearec,CREAT,0.005,0.020835387295014624
diginetica,unpopular,21325,freqrec,CREAT,0.005,0.006145453350422295
diginetica,unpopular,21325,mdhg,CREAT,0.005,0.0001478852410529429
diginetica,unpopular,21325,miasrec,CREAT,0.005,0.36731407538860955
diginetica,unpopular,21325,srgnn,CREAT,0.005,0.13035262414144402
