dataset,target_type,victim_model,method,attack_size,recall20_mean
diginetica,popular,tron,TC-SACP-C,0.03,0.224021492655033
diginetica,unpopular,tron,DPSBR,0.03,0.5014344868382136
diginetica,unpopular,tron,CREAT,0.03,0.1946794176607841
diginetica,unpopular,tron,Poisoning-SSL,0.03,0.4622679023300141
diginetica,unpopular,tron,TC-SACP-G,0.03,0.3712313911071675
diginetica,unpopular,tron,TC-SACP-C,0.03,0.1938463308028525
yoochoose1_64,popular,tron,DPSBR,0.03,0.5189663517559113
yoochoose1_64,popular,tron,CREAT,0.03,0.060419841170249
yoochoose1_64,popular,tron,Poisoning-SSL,0.03,0.4601616980083538
yoochoose1_64,popular,tron,TC-SACP-G,0.03,0.4616711184411021
yoochoose1_64,popular,tron,TC-SACP-C,0.03,0.4122169836688596
yoochoose1_64,unpopular,tron,DPSBR,0.03,0.5302117132459709
yoochoose1_64,unpopular,tron,CREAT,0.03,0.0847695534481831
yoochoose1_64,unpopular,tron,Poisoning-SSL,0.03,0.3643923776060807
yoochoose1_64,unpopular,tron,TC-SACP-G,0.03,0.4552964164709678
yoochoose1_64,unpopular,tron,TC-SACP-C,0.03,0.4071580947600523
diginetica,popular,wearec,DPSBR,0.03,0.2703325774754346
diginetica,popular,wearec,CREAT,0.03,0.2639406487232574
diginetica,popular,wearec,Poisoning-SSL,0.03,0.1162591606690985
diginetica,popular,wearec,TC-SACP-G,0.03,0.2547389003910743
diginetica,popular,wearec,TC-SACP-C,0.03,0.2439662821650399
diginetica,unpopular,wearec,DPSBR,0.03,0.2824854579512965
diginetica,unpopular,wearec,CREAT,0.03,0.3093397745571659
diginetica,unpopular,wearec,Poisoning-SSL,0.03,0.0900670413092773
diginetica,unpopular,wearec,TC-SACP-G,0.03,0.2369680239245456
diginetica,unpopular,wearec,TC-SACP-C,0.03,0.2210374971244536
yoochoose1_64,popular,wearec,DPSBR,0.03,0.4849583169344162
yoochoose1_64,popular,wearec,CREAT,0.03,0.3517764499624315
yoochoose1_64,popular,wearec,Poisoning-SSL,0.03,0.4947511538874378
yoochoose1_64,popular,wearec,TC-SACP-G,0.03,0.46382875952628
yoochoose1_64,popular,wearec,TC-SACP-C,0.03,0.4673351461590754
yoochoose1_64,unpopular,wearec,DPSBR,0.03,0.4832766825288919
yoochoose1_64,unpopular,wearec,CREAT,0.03,0.3564832373251279
yoochoose1_64,unpopular,wearec,Poisoning-SSL,0.03,0.2105603062721385
yoochoose1_64,unpopular,wearec,TC-SACP-G,0.03,0.4883913556835665
yoochoose1_64,unpopular,wearec,TC-SACP-C,0.03,0.4824734337543382
